cluster,text,frequency
95,fms,83
95,officer,83
95,arrival,77
95,carrier,74
95,clearance,70
95,rnav,64
95,route,61
95,heading,59
95,cleared,58
95,pilot,55
95,waypoint,55
96,approach,13
96,pilot,8
96,runway,7
96,captain,6
96,carrier,5
96,ifr,4
96,atc,4
96,go-around,4
96,navigation,3
96,altitude,3
96,due,3
96,ils,3
96,lga,3
96,experienced,2
96,gps,2
96,31,2
96,became,2
96,malke,2
96,passenger,2
96,subsequent,2
97,approach,12
97,first,11
97,officer,10
97,captain,10
97,pitch,6
97,altitude,4
97,control,4
97,caused,4
97,ft,3
97,loss,3
97,crew,3
97,visual,2
97,aircraft;,2
97,airspeed,2
97,pilot,2
97,gain,2
97,recovered,2
97,complete,2
97,successful,2
97,imc,2
98,runway,46
98,closed,21
98,pilot,17
98,landing,12
98,airport,8
98,crew,7
98,notam,6
98,closure,6
98,reports,4
98,x,4
98,end,4
98,notamed,4
98,air,4
98,carrier,4
98,one,4
98,landed,3
98,see,3
98,noticed,3
98,yellow,3
98,time,3
99,approach,16
99,captain,9
99,first,8
99,officer,8
99,runway,7
99,carrier,6
99,unstabilized,5
99,final,5
99,missed,4
99,ils,4
99,turn,3
99,pilot,3
99,flying,3
99,resulting,3
99,atc,3
99,b737,2
99,crew,2
99,visual,2
99,lines,2
99,wrong,2
100,altitude,15
100,captain,15
100,atc,14
100,crew,14
100,clearance,11
100,sid,7
100,carrier,6
100,5;000,6
100,cleared,6
100,assigned,6
100,via',6
100,officer,6
100,'climb,6
100,climb,6
100,confusion,5
100,departure,5
100,arrival,4
100,feet,4
100,first,4
100,via,4
101,altitude,23
101,captain,16
101,crew,16
101,atc,15
101,carrier,13
101,class,13
101,b,13
101,approach,12
101,pilot,9
101,speed,9
101,clearance,9
101,air,8
101,airspace,7
101,200,7
101,arrival,6
101,published,6
101,first,6
101,officer,6
101,sjc,5
101,descent,5
102,crew,258
102,crossing,247
102,rnav,241
102,restriction,177
102,star,164
102,altitude,150
102,captain,131
102,arrival,120
102,atc,112
102,comply,92
102,descent,83
102,speed,75
102,ft,73
102,cleared,68
102,failed,67
102,restrictions,56
102,via,53
102,first,47
102,vnav,46
102,reports,44
103,altitude,18
103,alert,16
103,atc,14
103,low,13
103,approach,8
103,receiving,8
103,crew,6
103,captain,6
103,descended,3
103,descent,3
103,carrier,3
103,visual,3
103,getting,2
103,charted,2
103,due,2
103,clearance,2
103,taxi,2
103,first,2
103,officer,2
103,night,2
104,approach,215
104,terrain,207
104,warning,192
104,crew,155
104,gpws,146
104,visual,125
104,receiving,113
104,alert,90
104,captain,85
104,egpws,77
104,runway,76
104,carrier,75
104,officer,60
104,night,59
104,first,58
104,altitude,46
104,received,43
104,air,33
104,atc,28
104,descending,27
105,approach,36
105,first,33
105,captain,32
105,officer,30
105,unstabilized,25
105,crew,15
105,go-around,11
105,carrier,10
105,due,9
105,landing,8
105,unstable,8
105,flying,7
105,low,6
105,resulted,6
105,resulting,6
105,altitude,5
105,final,5
105,ils,5
105,atc,5
105,executed,4
106,approach,52
106,glideslope,50
106,crew,36
106,ils,36
106,altitude,32
106,pilot,25
106,runway,24
106,first,24
106,autopilot,23
106,officer,23
106,glide,21
106,low,20
106,carrier,18
106,captain,18
106,slope,18
106,localizer,15
106,descending,12
106,visual,12
106,alert,11
106,descended,10
107,parking,22
107,brake,19
107,crew,12
107,captain,10
107,set,9
107,gate,8
107,first,6
107,brakes,6
107,failed,6
107,forward,5
107,failure,5
107,officer,5
107,roll,5
107,ramp,4
107,properly,3
107,engine,3
107,several,3
107,rolled,3
107,began,3
107,wheel,3
108,crew,38
108,pushback,26
108,ground,26
108,captain,25
108,ramp,9
108,carrier,9
108,communication,8
108,back,7
108,sop,6
108,officer,6
108,push,5
108,pushback;,5
108,resulting,5
108,personnel,4
108,forward,4
108,without,4
108,critical,4
108,hand,3
108,nose,3
108,pushed,3
109,captain,41
109,gate,39
109,crew,23
109,parking,19
109,stop,15
109,ground,14
109,ramp,14
109,wing,13
109,carrier,13
109,personnel,10
109,tug,10
109,reports,9
109,taxiing,9
109,system,8
109,air,8
109,taxi,8
109,line,8
109,first,7
109,another,7
109,officer,6
110,tug,50
110,tow,43
110,crew,41
110,pushback,36
110,captain,32
110,bar,27
110,driver,24
110,ground,19
110,push,16
110,back,15
110,brakes,12
110,nose,11
110,brake,11
110,disconnected,10
110,resulted,9
110,failed,9
110,set,9
110,rolled,8
110,communication,7
110,ramp,7
111,controller,46
111,runway,37
111,cleared,32
111,takeoff,21
111,tower,18
111,another,14
111,short,12
111,local,12
111,runway.,11
111,hold,11
111,vehicle,11
111,departing,9
111,cross,8
111,pilot,7
111,clearing,6
111,ground,6
111,around,6
111,taxiing,6
111,arrival,5
111,final,5
112,runway,22
112,takeoff,17
112,cleared,16
112,tower,13
112,crew,11
112,pilot,10
112,another,9
112,short,7
112,clear,6
112,line,6
112,runway.,5
112,instructed,5
112,cross,5
112,wait,5
112,departing,5
112,captain,5
112,first,4
112,officer,4
112,landing,4
112,conflict,4
113,runway,13
113,crew,8
113,final,7
113,short,7
113,cleared,7
113,pilot,5
113,takeoff,5
113,hold,3
113,line,3
113,reports,3
113,tower,3
113,intersection,3
113,landing,2
113,approach,2
113,go-around,2
113,incursion,2
113,clear,2
113,parallel,2
113,taxiway,2
113,conflict,2
114,captain,46
114,crew,35
114,collision,34
114,ground,32
114,truck,23
114,avoid,23
114,near,21
114,stop,21
114,taxiing,21
114,carrier,19
114,taxi,17
114,conflict,15
114,another,15
114,taxiway,12
114,reports,11
114,ramp,10
114,vehicle,10
114,gate,9
114,abrupt,9
114,high,8
115,taxiway,419
115,runway,323
115,taxi,204
115,captain,169
115,crew,160
115,carrier,137
115,hold,135
115,airport,109
115,short,102
115,pilot,96
115,ramp,67
115,incursion,67
115,signage,63
115,taxiing,61
115,line,60
115,cleared,59
115,ground,59
115,officer,58
115,reports,57
115,first,57
116,controller,49
116,described,34
116,event,26
116,loss,15
116,separation,15
116,emergency,11
116,descent,9
116,regarding,9
116,traffic,9
116,atc,7
116,noting,6
116,concern,6
116,coordination,6
116,resulted,5
116,involving,5
116,resulting,5
116,provided,5
116,altitude,5
116,enroute,4
116,weather,4
117,controller,181
117,runway,133
117,tower,63
117,local,53
117,traffic,50
117,described,45
117,event,35
117,landing,34
117,ground,25
117,conflict,23
117,around,23
117,incursion,22
117,departure,22
117,go,22
117,airport,19
117,due,18
117,arrival,18
117,control,17
117,takeoff,17
117,short,16
118,controller,104
118,minimum,83
118,vectoring,71
118,altitude,56
118,tracon,43
118,descended,31
118,assigned,28
118,ifr,26
118,flew,23
118,altitude.a,16
118,center,15
118,approach,15
118,issued,14
118,altitude.tracon,11
118,descending,10
118,mva,8
118,trainee,8
118,departure,7
118,higher,7
118,pilot,7
119,controller,761
119,separation,272
119,described,225
119,event,211
119,loss,202
119,tracon,194
119,tower,172
119,traffic,131
119,conflict,104
119,approach,95
119,departure,93
119,due,87
119,vfr,86
119,final,66
119,local,65
119,arrival,64
119,ifr,63
119,two,61
119,controllers,59
119,airspace,52
120,radar,42
120,controller,40
120,regarding,12
120,concern,11
120,voiced,10
120,maintenance,9
120,described,9
120,targets,8
120,noting,7
120,traffic,6
120,display,6
120,tracon,5
120,indicating,5
120,equipment,5
120,stars,5
120,target,5
120,failure,5
120,flm,5
120,using,4
120,jumping,4
121,controller,740
121,described,206
121,airspace,152
121,event,145
121,traffic,121
121,separation,115
121,loss,103
121,center,89
121,weather,82
121,controllers,81
121,sector,76
121,due,72
121,altitude,70
121,regarding,70
121,reports,69
121,another,58
121,two,57
121,conflict,56
121,concern,53
121,information,49
122,controller,27
122,airspace,12
122,center,9
122,another,5
122,due,5
122,high,4
122,point,4
122,working,4
122,one,4
122,altitude,4
122,sector,4
122,coordination,3
122,d01,3
122,different,3
122,sectors,3
122,three,3
122,two,3
122,adjacent,3
122,described,3
122,event,3
